path,label
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/2693.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/0450.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Testing/glaucoma/5246.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/1363.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/4126.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/3087.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/1069.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/2345.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/1802.jpg,glaucome
/home/mathis/Memoire/data/glaucome/ORIGA/ORIGA/Training/glaucoma/426.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Testing/glaucoma/4553.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/5743.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/0129.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/4044.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Testing/glaucoma/5207.jpg,glaucome
/home/mathis/Memoire/data/glaucome/ORIGA/ORIGA/Training/glaucoma/407.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/2285.jpg,glaucome
/home/mathis/Memoire/data/glaucome/ORIGA/ORIGA/Training/glaucoma/419.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/2854.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/0040.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/1402.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/1787.jpg,glaucome
/home/mathis/Memoire/data/glaucome/ORIGA/ORIGA/Testing/glaucoma/646.jpg,glaucome
/home/mathis/Memoire/data/glaucome/LAG/LAG/Training/glaucoma/0400.jpg,glaucome
